name|position|times_top_10|times_top_20|times_top_30|points_scored|draft_auction_value
Zay Jones|WR|1|1|1|19.5|0
Hunter Renfrow|WR|1|3|3|55.9|0
Nelson Agholor|WR|1|2|2|60.9|0
Breshad Perriman|WR|0|0|1|16.6|0
Tavon Austin|WR|0|0|1|22.700000000000003|0
Parris Campbell|WR|0|0|1|26.4|0
Marquise Goodwin|WR|0|1|1|31.1|0
Dontrelle Inman|WR|0|0|1|17.2|0
Adam Humphries|WR|0|0|1|47.9|0
Cordarrelle Patterson|WR|0|0|1|21.700000000000003|0
Demarcus Robinson|WR|1|1|2|61.800000000000004|0
Brandon Marshall|WR|2|2|2|0.0|0
Eric Weems|WR|2|2|2|0.0|0
Jordy Nelson|WR|2|2|2|0.0|0
Harry Douglas|WR|1|2|2|0.0|0
Matthew Slater|WR|1|2|2|0.0|0
Pierre Garcon|WR|1|2|2|0.0|0
Kenny Britt|WR|0|2|2|0|0
Michael Crabtree|WR|0|2|2|4.199999999999999|0
Darrius Heyward-Bey|WR|0|2|2|0.0|0
Brandon LaFell|WR|0|2|2|0.0|0
Jeremy Maclin|WR|0|2|2|0|0
Louis Murphy|WR|0|1|2|0.0|0
Brandon Tate|WR|0|1|2|0.0|0
Mike Wallace|WR|0|1|2|0.0|0
Dez Bryant|WR|0|1|2|0.0|0
Demaryius Thomas|WR|0|0|2|32.7|0
Golden Tate|WR|1|1|5|54.3|0
Arrelious Benn|WR|0|0|2|0.0|0
Andre Roberts|WR|0|0|2|1.8|0
Eric Decker|WR|0|0|2|0|0
Joe Webb III|WR|0|0|1|0.0|0
Antonio Brown|WR|0|1|2|14.1|0
A.J. Green|WR|0|0|1|0.0|0
Jaron Brown|WR|1|1|1|37.5|0
J.J. Nelson|WR|0|0|1|11.6|0
Devin Smith|WR|0|1|1|19.8|0
Marvin Hall|WR|0|0|1|29.3|0
Zach Pascal|WR|1|2|3|66.80000000000001|0
Chester Rogers|WR|0|0|1|28.499999999999996|0
Corey Davis|WR|2|2|2|63.4|0
Keelan Cole|WR|0|0|1|27.799999999999997|0
Jake Kumerow|WR|0|1|1|24.0|0
Josh Reynolds|WR|0|1|1|19.1|0
Duke Williams|WR|0|0|1|14.799999999999999|0
Geronimo Allison|WR|0|1|1|41.2|1
Allen Lazard|WR|0|1|1|32.8|0
Andy Isabella|WR|0|1|1|18.700000000000003|0
Keke Coutee|WR|0|0|1|29.299999999999997|0
Darius Slayton|WR|1|2|2|53.8|0
Bisi Johnson|WR|0|0|1|36.5|0
Steven Sims Jr.|WR|0|1|1|23.2|0
Auden Tate|WR|0|0|2|56.6|0
Mecole Hardman|WR|0|1|4|68.2|0
Byron Pringle|WR|0|1|1|25.7|0
Christian McCaffrey|RB|7|7|7|225.4|56
Austin Ekeler|RB|5|6|9|168.4|6
Derrick Henry|RB|4|5|7|132.29999999999998|13
Marlon Mack|RB|1|4|6|100.2|7
Dalvin Cook|RB|6|9|9|191.7|35
Josh Jacobs|RB|4|5|8|143.3|31
Mark Ingram II|RB|2|4|8|118.00000000000001|21
David Johnson|RB|3|5|5|106.5|44
Chris Carson|RB|3|6|7|128.10000000000002|12
Alvin Kamara|RB|2|3|5|93.4|53
Le'Veon Bell|RB|2|4|6|97.69999999999999|48
Malcolm Brown|RB|0|1|1|28.9|0
Saquon Barkley|RB|3|4|5|94.9|65
Damien Williams|RB|1|2|3|66.80000000000001|0
Ezekiel Elliott|RB|3|8|8|137.70000000000002|49
Devin Singletary|RB|1|3|4|61.0|2
Latavius Murray|RB|2|3|4|92.7|0
Wayne Gallman|RB|1|2|2|41.6|0
Chris Thompson|RB|0|2|2|49.0|0
Rex Burkhead|RB|1|2|2|41.6|0
Duke Johnson|RB|1|3|6|80.5|0
James White|RB|0|2|8|84.80000000000001|2
Todd Gurley II|RB|2|4|6|91.10000000000001|41
Nick Chubb|RB|3|4|8|138.9|35
Darren Sproles|RB|2|2|3|14.000000000000002|0
LeSean McCoy|RB|1|5|6|74.0|0
Ronald Jones II|RB|0|3|4|72.5|0
Leonard Fournette|RB|3|6|9|136.6|27
Carlos Hyde|RB|1|2|5|89.6|1
Tarik Cohen|RB|0|0|2|48.6|0
Phillip Lindsay|RB|2|4|6|116.9|6
James Conner|RB|3|4|5|110.1|47
Dontrell Hilliard|RB|0|1|1|31.200000000000003|0
Kerryon Johnson|RB|1|3|4|63.9|0
Tevin Coleman|RB|1|3|4|83.89999999999999|1
Royce Freeman|RB|0|2|4|81.0|1
Jordan Howard|RB|2|3|5|106.39999999999999|3
Peyton Barber|RB|0|1|1|52.49999999999999|0
Dare Ogunbowale|RB|0|0|1|35.3|0
David Montgomery|RB|2|3|4|90.9|0
Alexander Mattison|RB|0|0|1|40.300000000000004|0
Raheem Mostert|RB|1|2|2|49.49999999999999|0
Ito Smith|RB|0|0|1|30.8|0
Aaron Jones|RB|4|6|6|166.5|19
Kenyan Drake|RB|1|1|3|70.0|0
Matt Breida|RB|1|2|4|81.69999999999999|1
J.D. McKissic|RB|0|1|2|38.0|0
Miles Sanders|RB|2|2|3|87.1|0
Dion Lewis|RB|0|0|1|25.299999999999997|0
Joe Mixon|RB|1|2|4|70.5|42
Devonta Freeman|RB|1|4|5|92.0|24
Jamaal Williams|RB|1|4|6|87.9|0
Tony Pollard|RB|1|1|1|35.2|0
Frank Gore|RB|3|4|6|64.0|0
Anthony Sherman|RB|0|0|2|2.9000000000000004|0
Patrick DiMarco|RB|0|0|1|6.4|0
Rashaad Penny|RB|0|1|1|27.400000000000002|0
Kalen Ballage|RB|0|0|1|24.999999999999996|0
Sony Michel|RB|2|4|4|92.0|0
Jaylen Samuels|RB|1|1|2|37.6|0
DeAndre Washington|RB|1|1|2|36.199999999999996|0
Brandon Bolden|RB|0|0|2|38.300000000000004|0
Ryquell Armstead|RB|0|0|2|23.299999999999997|0
Ty Johnson|RB|0|0|1|25.200000000000003|0
Chase Edmonds|RB|1|3|3|76.0|0
Derek Watt|RB|1|1|1|5.3|0
Jalen Richard|RB|1|1|1|32.199999999999996|1
Mark Walton|RB|0|0|1|34.50000000000001|0
John Kuhn|RB|2|2|2|0.0|0
Adrian Peterson|RB|1|5|6|64.2|0
Marshawn Lynch|RB|1|2|2|0.0|0
Darren McFadden|RB|1|2|2|0|0
Jonathan Stewart|RB|1|2|2|0.0|0
Chris Johnson|RB|1|2|2|0.0|0
Matt Forte|RB|1|2|2|0|0
Jamaal Charles|RB|1|2|2|0.0|0
Mike Tolbert|RB|0|2|2|0.0|0
Danny Woodhead|RB|0|2|2|0|0
C.J. Spiller|RB|0|1|2|0.0|0
LeGarrette Blount|RB|0|1|2|0.0|0
Chris Ivory|RB|0|1|2|0.0|0
James Develin|RB|0|1|2|0.3|0
DeMarco Murray|RB|0|1|2|0|0
Shane Vereen|RB|0|1|2|0.0|0
Stevan Ridley|RB|0|0|2|0.0|0
Bilal Powell|RB|0|0|2|3.9|0
